0.35	0.83
0.36	2.91
0.36	0.78
0.32	1.02
0.31	0.84
0.31	0.79
0.35	3.54
0.32	0.92
0.30	0.75
0.32	0.77
0.37	7.45
0.32	0.75
0.32	1.49
0.32	1.01
0.37	3.28
0.33	1.12
0.32	1.12
0.32	0.99
0.33	0.76
0.32	1.01
0.34	1.63
0.35	1.03
0.39	3.71
0.33	0.77
0.31	2.03
0.39	3.45
0.32	0.75
0.32	5.27
0.39	3.34
0.40	3.30
0.32	6.59
0.32	0.74
0.32	0.74
0.32	2.08
0.39	3.30
0.33	0.78
0.32	0.97
0.34	2.15
0.37	1.04
0.32	0.74
0.34	1.75
0.31	0.76
0.31	0.81
0.40	3.24
0.34	0.80
0.30	1.62
0.37	1.66
0.34	0.99
0.32	2.66
0.32	0.77
0.31	0.71
0.30	0.73
0.32	3.66
0.34	1.53
0.32	1.00
0.33	2.90
0.32	1.97
0.33	0.79
0.39	3.54
0.38	0.87
0.34	0.87
0.37	1.81
0.33	2.12
0.33	1.86
0.39	3.31
0.31	2.71
0.32	2.13
0.31	0.75
0.36	0.80
0.30	0.72
0.31	0.97
0.32	1.02
0.33	0.88
0.32	0.79
0.39	1.84
0.33	1.81
0.33	1.03
0.36	1.95
0.33	0.81
0.37	1.86
0.37	1.15
0.35	2.14
0.36	1.06
0.34	0.81
0.34	2.69
0.34	1.10
0.36	0.86
0.40	0.85
0.34	2.62
0.34	2.53
0.36	7.57
0.61	3.01
0.39	0.90
0.32	2.13
0.35	1.10
0.36	1.64
0.33	1.06
0.32	0.80
0.34	2.64
0.44	3.39
0.33	6.03
0.33	0.90
0.33	4.42
0.34	0.79
0.34	0.77
0.32	3.59
0.33	0.76
0.34	4.59
0.36	1.19
0.34	0.83
0.34	2.01
0.33	2.01
0.40	3.54
0.33	0.79
0.33	1.04
0.34	1.10
0.30	2.00
0.33	2.18
